warehouse_code,tenant_code,part,sloc,bin,kitqty,grn_number,qoh,mfgdt,expdt,carton_code,uomqty,projectrefno,part_desc
LQE,FHT,DOG1112,OK,TVC4K2248,0,3.21514E+11,40,,,3131TVC1111076,EA/1.00,,Essential Oil - Cough n Flu
LQE,HNV,HG1112,OK,TVC4K2248,0,3.21514E+11,15,,,3131TVC1111076,EA/1.00,,Essential Oil - Gimme Food
LBX,HNV,JC1112,OK,TVC4K2248,0,3.21514E+11,10,,,3131TVC1111076,EA/1.00,,Essential Oil - Imboost
NEL,SMN,KPZ1112,OK,TVC4K2248,0,3.21514E+11,7,,,3131TVC1111076,EA/1.00,,GENTLE BABY OIL - JOY 
NEL,MNC,UD1112,OK,TVC4K2248,0,3.21514E+11,8,,,3131TVC1111076,EA/1.00,,Essential Oil - Tummy Calmer 
LPT,CQJ-B3,MES1112,OK,TVC4K2248,0,3.21514E+11,3,,,3131TVC1111076,EA/1.00,,Essential Oil - LDR Booster 
LQE,HUD,NZC1112,OK,TVC4K2248,0,3.21514E+11,2,,,3131TVC1111076,EA/1.00,,Essential Oil - Massage your Baby `
LBX,POE,ET1112,OK,TVC4K2248,0,3.21514E+11,15,,,3131TVC1111076,EA/1.00,,Essential Oil - Deep sleep
LBX,CQJ-B3,DSU1112,OK,TVC4K2247,0,3.21514E+11,100,,,3131TVC1111075,EA/1.00,,CARTON KECIL (14 X 10 X 6)
NEL,HSJ,DSU1113,OK,TVC4K2247,0,3.21514E+11,5,,,3131TVC1111075,EA/1.00,,KARDUS B
TVCC,CQJ-B3,QC1112,OK,TVC4K2247,0,3.21514E+11,3,,,3131TVC1111075,EA/1.00,,Paper Bag Besar 
NEL,MNC,QC1113,OK,TVC4K2247,0,3.21514E+11,5,,,3131TVC1111075,EA/1.00,,Paper Bag Kecil 
TVC,POE,UID1112,OK,TVC4K2247,0,3.21514E+11,100,,,3131TVC1111075,EA/1.00,,Thankyou Card
LQE,POE,NBQ,OBOH,TVC3I2425,0,3.21434E+11,1,,14-Mar-23,3131TVC1112152,EA/1.00,,Madu Kesehatan Pria
TVC,NUT,NBQ,OBOH,EaEL11132,0,3.21514E+11,8,,20-Mar-23,3131TVC111113,EA/1.00,,Madu Kesehatan Pria
LQE,SFF,NBQ,OK,EaEL11132,0,3.21514E+11,35,,20-Mar-23,3131TVC111113,EA/1.00,,Madu Kesehatan Pria
LPT,HCZ,NBX,OBOH,EaEL11132,0,3.21431E+11,-1,,1-Dec-22,,EA/1.00,,Madu Kesehatan Wanita
TVC,GDP,NBX,OK,EaEL11132,0,3.21514E+11,35,,1-Mar-23,3131TVC111113,EA/1.00,,Madu Kesehatan Wanita
LQE,SFF,NBX,OBOH,TVC3I2424,0,3.21434E+11,1,,1-Mar-23,3131TVC1112153,EA/1.00,,Madu Kesehatan Wanita
NEL,POE,NBX,OBOH,EaEL11132,0,3.21514E+11,8,,1-Mar-23,3131TVC111113,EA/1.00,,Madu Kesehatan Wanita
TVCC,SFF,GBDJ,OK,TVC3I2426,0,3.12236E+11,5,,,,EA/1.00,,Face Ion
LQE,POE,NBTLBSB,OK,TVC3I2426,0,3.12236E+11,2,,11-Jan-23,,EA/1.00,,Maskara
TVC,GDP,Lbqtvm Rbijsb,OK,TVC3I2426,0,3.21426E+11,1,,17-Feb-23,3131TVC1112213,EA/1.00,,Kapsul Qahira
TVCC,POE,DL784-CD,OK,LBQ/SB/B-4-9-2,0,3.2131E+11,1,,,3131LBQ1111303,EA/1.00,,DOMPET TEST673 CNK MULTI SLOT MINI POUCH BRITEST
LBQ,HSJ,DL784-CD,OK,LBQ/SB/B-4-9-2,0,3.21313E+11,1,,,3131LBQ1111041,EA/1.00,,DOMPET TEST673 CNK MULTI SLOT MINI POUCH BRITEST
TVCC,HCZ,DL784-Z,OK,LBQ/SB/B-5-9-2,0,3.21313E+11,2,,,3131LBQ1111030,EA/1.00,,DOMPET TEST673 CNK MULTI SLOT MINI POUCH YELLOW
NEL,SFF,a396-C,OK,LBQ/SB/B-2-0-6,0,3.21313E+11,5,,,3131LBQ1111061,EA/1.00,,TAS WANITA Z285 ZR SHOULDER BAG PREMIUM IMPORT BLATEST
TVC,HOJ,a396-L,OK,LBQ/SB/B-2-0-6,0,3.21313E+11,3,,,3131LBQ1111061,EA/1.00,,TAS WANITA Z285 ZR SHOULDER BAG PREMIUM IMPORT KHAKI
NEL,GDP,a396-D,OK,LBQ/SB/B-2-0-6,0,3.21313E+11,5,,,3131LBQ1111061,EA/1.00,,TAS WANITA Z285 ZR SHOULDER BAG PREMIUM IMPORT CREAM
TVC,HOJ,DL751-N-C,OK,LBQ/SB/B-2-21-5,0,3.21313E+11,5,,,3131LBQ1111058,EA/1.00,,"TAS TEST640 ( Chunky Chain Link )* BLATEST,M"
LBX,HUD,DL751-N-S,OK,LBQ/SB/B-5-0-6,0,3.21313E+11,5,,,3131LBQ1111062,EA/1.00,,"TAS TEST640 ( Chunky Chain Link )* RED,M"
NEL,FML,DL751-N-X,OK,LBQ/SB/B-5-0-6,0,3.21313E+11,5,,,3131LBQ1111062,EA/1.00,,"TAS TEST640 ( Chunky Chain Link )* WHITE,M"
LQE,HUD,DL751-N-N,OK,LBQ/SB/B-2-0-6,0,3.21313E+11,5,,,3131LBQ1111061,EA/1.00,,"TAS TEST640 ( Chunky Chain Link )* MULTI,M"
TVC,SMN,DL751-N-OE,OK,LBQ/SB/B-2-0-6,0,3.21313E+11,10,,,3131LBQ1111061,EA/1.00,,"TAS TEST640 ( Chunky Chain Link )* NUDE,M"
LPT,HOJ,DL781-C,OK,LBQ/SB/B-5-24-2,0,3.21314E+11,20,,,3131LBQ1112217,EA/1.00,,TAS TEST670 CNK QUILTED SHOULDER BAG* BLATEST
NEL,CQJ-B3,DL781-Q,OK,LBQ/SB/B-2-0-5,0,3.21313E+11,5,,,3131LBQ1111064,EA/1.00,,TAS TEST670 CNK QUILTED SHOULDER BAG* PINK
LQE,QVS,DL781-QX,OK,LBQ/SB/B-5-0-2,0,3.21313E+11,10,,,3131LBQ1111068,EA/1.00,,TAS TEST670 CNK QUILTED SHOULDER BAG* PEWTER
LBX,HSJ,DL781-QF,OK,LBQ/SB/B-2-22-6,0,3.21313E+11,5,,,3131LBQ1111972,EA/1.00,,TAS TEST670 CNK QUILTED SHOULDER BAG* PEARL
LBQ,HCZ,DL841-C,OK,LBQ/SB/B-5-0-4,0,3.21313E+11,10,,,3131LBQ1111063,EA/1.00,,TAS WANITA TEST730 PREMIUM IMPORT BLATEST
NEL,SMN,DL841-S,OK,LBQ/SB/B-2-22-4,0,3.21313E+11,10,,,3131LBQ1111971,EA/1.00,,TAS WANITA TEST730 PREMIUM IMPORT RED
LQE,FHT,DL841-X,OK,LBQ/SB/B-2-22-4,0,3.21313E+11,5,,,3131LBQ1111971,EA/1.00,,TAS WANITA TEST730 PREMIUM IMPORT WHITE
